weight,dijkstraTime,cchTime
1083199,1353913,75782
809337,667519,93975
790388,1266545,75517
991286,512098,83803
662412,868533,76063
1073330,1411978,79987
1333911,1147338,107059
1038142,1134062,97936
611497,764524,107577
1061502,1420144,93085
284345,72459,10837
5922,82,235
563768,1118696,89063
458196,201019,60074
9865,150,1435
953175,1214736,108844
974019,1418971,80390
1154557,1192157,153274
628120,557383,90742
1000278,1150526,88871
541353,648620,152472
7134,77,690
590809,997771,47059
738065,649148,110131
1107110,1216716,78395
487882,824743,60245
633814,558456,73200
530443,862085,57175
979760,1356982,76989
1341219,1151857,102676
840838,1214725,94710
451066,403743,64298
833782,657634,213439
1516974,1231817,75791
713599,817368,86402
878,20,1034
6129,68,74
2638,23,9
953765,1299547,105341
998225,1283823,95108
934703,1339696,88393
903868,1250489,84507
486289,849704,82926
4782,58,99
650558,598148,89975
